run,id,tier,system,question,answer,in_tokens,out_tokens,latency_s,sources,correctness,faithfulness,reason
1,t1_transformer_layers,1,wiki,"In the original Transformer, how many layers are stacked in the encoder and in the decoder of the base model?",The original Transformer model uses 6 layers in both the encoder and the decoder.,2424,42,2.72,encoder-decoder-architecture.md training-data.md model-architecture.md self-attention.md training-process.md,2,2,Matches reference exactly.
1,t1_transformer_layers,1,rag,"In the original Transformer, how many layers are stacked in the encoder and in the decoder of the base model?",The original Transformer base model stacks 6 layers in both the encoder and the decoder.,1726,18,1.81,transformer transformer transformer bert transformer,2,2,Accurately reproduces reference answer.
1,t1_transformer_dims,1,wiki,What are d_model and the number of attention heads h in the Transformer base model?,The provided pages do not specify the values of d_model and the number of attention heads h in the Transformer base model.,2513,52,2.42,training-data.md encoder-decoder-architecture.md self-attention.md multi-headed-attention.md model-architecture.md,2,2,Matches reference exactly.
1,t1_transformer_dims,1,rag,What are d_model and the number of attention heads h in the Transformer base model?,"In the Transformer base model, d_model is 512 and the number of attention heads h is 8.",2005,25,1.84,transformer transformer bert transformer transformer,2,2,Matches reference exactly.
1,t1_bert_objectives,1,wiki,What two pre-training objectives does BERT use?,BERT uses the Masked Language Model (MLM) and Next Sentence Prediction (NSP) as its two pre-training objectives.,1684,39,1.69,pre-training-tasks.md ablation-studies.md,2,2,Identical to reference answer.
1,t1_bert_objectives,1,rag,What two pre-training objectives does BERT use?,BERT uses the Masked Language Model (MLM) and the Next Sentence Prediction (NSP) as its two pre-training objectives.,1872,28,1.72,bert bert bert bert bert,2,2,Identical to reference answer.
1,t1_bert_mask_pct,1,wiki,What fraction of WordPiece tokens does BERT mask for the masked-LM objective?,The provided pages do not specify the fraction of WordPiece tokens BERT masks for the masked-LM objective.,2224,51,1.99,pre-training-tasks.md ablation-studies.md model-size-impact.md training-data.md hyperparameter-ablation.md,2,2,Direct quote from reference answer is not provided.
1,t1_bert_mask_pct,1,rag,What fraction of WordPiece tokens does BERT mask for the masked-LM objective?,15%,1741,4,1.14,bert bert bert bert bert,2,2,Matches reference exactly.
1,t1_gpt3_params,1,wiki,How many parameters does the largest GPT-3 model have?,The provided pages do not specify the number of parameters in the largest GPT-3 model.,2270,45,2.01,training-process.md model-architecture.md training-data.md fine-tuning-process.md model-size-impact.md,2,2,Directly quotes reference answer.
1,t1_gpt3_params,1,rag,How many parameters does the largest GPT-3 model have?,The largest GPT-3 model has 175 billion parameters.,1852,16,1.47,instructgpt instructgpt instructgpt gpt3 gpt3,2,2,Direct quote of reference answer.
1,t1_instructgpt_steps,1,wiki,What are the three steps of the InstructGPT training method?,"The three steps of the InstructGPT training method are Supervised Fine-Tuning (SFT), Reward Modeling (RM), and Reinforcement Learning with Human Feedback (PPO).",1995,54,2.13,fine-tuning-process.md training-process.md training-data-sources.md,2,2,Matches reference exactly.
1,t1_instructgpt_steps,1,rag,What are the three steps of the InstructGPT training method?,"The three steps of the InstructGPT training method are: 1) Pre-training on a large corpus, 2) Fine-tuning using human preferences through reinforcement learning with human feedback (RLHF), and 3) Evaluating model alignment and performance on various tasks.",1629,57,2.28,instructgpt gpt3 instructgpt gpt3 gpt3,2,2,Accurately describes the training method with minor rephrasing.
1,t2_transformer_posenc,2,wiki,Why does the Transformer need positional encodings?,"The Transformer needs positional encodings to provide information about the relative or absolute position of tokens in the sequence. Since self-attention mechanisms do not account for the order of tokens by default, positional encodings are added to the input embeddings to preserve sequential information, which is crucial for tasks like machine translation.",2501,87,3.01,self-attention.md encoder-decoder-architecture.md training-data.md recurrent-models.md model-architecture.md,2,2,Matches reference closely.
1,t2_transformer_posenc,2,rag,Why does the Transformer need positional encodings?,"The Transformer needs positional encodings to provide information about the relative or absolute position of the tokens in the sequence, as the model does not have an inherent understanding of the order of elements in the input sequence.",2004,42,2.18,transformer transformer bert transformer transformer,2,2,Matches reference closely.
1,t2_transformer_scale,2,wiki,Why are dot products scaled by 1/sqrt(d_k) in scaled dot-product attention?,The provided pages do not mention why dot products are scaled by 1/sqrt(d_k) in scaled dot-product attention.,2154,50,2.02,self-attention.md multi-headed-attention.md encoder-decoder-architecture.md,0,0,Candidate answer contradicts reference by stating the pages do not mention it.
1,t2_transformer_scale,2,rag,Why are dot products scaled by 1/sqrt(d_k) in scaled dot-product attention?,"The dot products are scaled by 1/sqrt(d_k) to counteract the effect of large magnitudes for large values of d_k, which pushes the softmax function into regions with extremely small gradients.",1661,42,1.98,transformer transformer transformer transformer transformer,2,2,Identical in meaning and wording.
1,t2_bert_why_masked,2,wiki,Why does BERT use a masked LM instead of a standard left-to-right language model?,"BERT uses a masked LM instead of a standard left-to-right language model because the masked LM task forces the model to understand context from both directions, enabling it to capture richer contextual relationships. This bidirectional training is crucial for developing the model's ability to handle complex linguistic patterns. [[pre-training-tasks]]",2098,94,2.98,pre-training-tasks.md ablation-studies.md bidirectional-training.md feature-based-vs-fine-tuning.md model-size-impact.md,2,2,Accurately conveys the main idea behind BERT's masked LM.
1,t2_bert_why_masked,2,rag,Why does BERT use a masked LM instead of a standard left-to-right language model?,"BERT uses a masked LM instead of a standard left-to-right language model because a deep bidirectional model is strictly more powerful than either a left-to-right model or the shallow concatenation of a left-to-right and a right-to-left model. The masked LM objective enables the representation to fuse the left and the right context, allowing BERT to pre-train a deep bidirectional Transformer.",1765,78,2.59,bert bert bert bert bert,2,2,Accurately conveys the technical motivation behind BERT's design choice.
1,t2_gpt3_incontext,2,wiki,What is in-context learning as described in the GPT-3 paper?,"In-context learning, as described in the GPT-3 paper, refers to the method where a model uses a small number of examples (K) during inference to generate completions for a final context. This includes few-shot, one-shot, and zero-shot learning, which vary by the number of examples provided.",1863,76,2.49,few-shot.md one-shot.md zero-shot.md,1,2,"Candidate answer partially captures the essence of in-context learning, but introduces unnecessary complexity with ""few-shot, one-shot, and zero-shot learning"" terminology."
1,t2_gpt3_incontext,2,rag,What is in-context learning as described in the GPT-3 paper?,"In-context learning, as described in the GPT-3 paper, refers to the setting where a model is given a few demonstrations of a task at inference time as conditioning, without allowing any weight updates. This method involves providing the model with examples of context and completion, and then expecting it to provide the completion for a new context. It is also referred to as ""meta-learning"" to capture the inner-loop/outer-loop structure, and specifically termed ""zero-shot,"" ""one-shot,"" or ""few-shot"" depending on the number of demonstrations provided.",1620,112,3.49,gpt3 gpt3 gpt3 gpt3 gpt3,2,2,Candidate answer accurately and completely describes in-context learning from the GPT-3 paper.
1,t2_gpt3_scale_fewshot,2,wiki,"According to the GPT-3 paper, how does model scale relate to few-shot performance?","The GPT-3 paper indicates that larger models perform better in few-shot learning, as they can generate more accurate completions with fewer examples, though specific details about the relationship between model scale and few-shot performance are not explicitly provided in the given pages.",2306,77,2.69,few-shot.md training-process.md model-size-impact.md training-data.md encoder-decoder-architecture.md,1,2,"Candidate answer partially captures the relationship between model scale and few-shot performance, but omits specific details about task-agnostic ability."
1,t2_gpt3_scale_fewshot,2,rag,"According to the GPT-3 paper, how does model scale relate to few-shot performance?","According to the GPT-3 paper, model scale relates to few-shot performance by showing that few-shot learning improves dramatically with model size. The gap between zero-, one-, and few-shot performance often grows with model capacity, suggesting that larger models are more proficient meta-learners.",1661,58,2.31,gpt3 gpt3 instructgpt gpt3 gpt3,2,2,Matches reference closely.
1,t2_instructgpt_small_beats_big,2,wiki,Why can a 1.3B-parameter InstructGPT model be preferred to the 175B GPT-3?,The provided pages do not address the comparison between a 1.3B-parameter InstructGPT model and the 175B GPT-3 model.,2329,62,2.41,model-size-impact.md fine-tuning-process.md training-data-sources.md alignment-criteria.md training-process.md,2,2,Directly addresses the question with accurate information.
1,t2_instructgpt_small_beats_big,2,rag,Why can a 1.3B-parameter InstructGPT model be preferred to the 175B GPT-3?,"A 1.3B-parameter InstructGPT model can be preferred to the 175B GPT-3 because it is fine-tuned on human data, leading to better instruction following, higher truthfulness, and reduced hallucination rates, even though it has significantly fewer parameters.",1654,61,2.35,instructgpt instructgpt instructgpt instructgpt gpt3,2,2,Candidate answer accurately summarizes the benefits of human-feedback alignment.
1,t3_objective_evolution,3,wiki,"How did the training objective evolve from BERT to GPT-3 to InstructGPT, and why?","The training objective evolved from BERT's Masked Language Model (MLM) and Next Sentence Prediction (NSP) to GPT-3's autoregressive language modeling, and then to InstructGPT's three-stage fine-tuning process involving Supervised Fine-Tuning (SFT), Reward Modeling (RM), and Reinforcement Learning with Human Feedback (PPO). This evolution reflects a shift from pre-training on bidirectional language understanding to autoregressive generation, and finally to aligning models with human preferences through reinforcement learning.",2289,136,4.0,pre-training-tasks.md fine-tuning-process.md training-data-sources.md model-architecture.md training-process.md,1,2,"Candidate accurately describes the evolution of training objectives but mischaracterizes GPT-3's approach as ""few-shot in-context learning"" instead of autoregressive LM."
1,t3_objective_evolution,3,rag,"How did the training objective evolve from BERT to GPT-3 to InstructGPT, and why?","The training objective evolved from BERT, which used masked language modeling (MLM) and next sentence prediction (NSP), to GPT-3, which used a left-to-right language model (LTR) without NSP. InstructGPT further refined this by fine-tuning GPT-3 on human data to improve instruction following, truthfulness, and reliability, aligning the model more closely with human preferences. This evolution aimed to enhance performance on downstream tasks and improve safety and reliability.",1606,101,3.26,bert instructgpt instructgpt instructgpt bert,1,2,Candidate partially captures the evolution of training objectives but mischaracterizes GPT-3's architecture.
